reg_no,name,unit,score
S1000,Edith Wanjiru,Data Mining,90.0
S1000,Edith Wanjiru,AI,76.0
S1000,Edith Wanjiru,Networking,67.0
S1000,Edith Wanjiru,DBMS,88.0
S1000,Edith Wanjiru,Python,78.0
S1000,Edith Wanjiru,PHP,70.0
S1000,Edith Wanjiru,Attendance,75.0
S1000,Edith Wanjiru,GPA,3.0
S1001,Grace Wanjiku,Data Mining,87.0
S1001,Grace Wanjiku,AI,78.0
S1001,Grace Wanjiku,Networking,67.0
S1001,Grace Wanjiku,DBMS,86.0
S1001,Grace Wanjiku,Python,56.0
S1001,Grace Wanjiku,PHP,68.0
S1001,Grace Wanjiku,Attendance,72.0
S1001,Grace Wanjiku,GPA,2.6
S1003,Mary Maina,Data Mining,67.0
S1003,Mary Maina,AI,56.0
S1003,Mary Maina,Networking,76.0
S1003,Mary Maina,DBMS,87.0
S1003,Mary Maina,Python,95.0
S1003,Mary Maina,PHP,65.0
S1003,Mary Maina,Attendance,58.0
S1003,Mary Maina,GPA,2.1
S1004,Chantal Wanjiku,Data Mining,76.0
S1004,Chantal Wanjiku,AI,67.0
S1004,Chantal Wanjiku,Networking,87.0
S1004,Chantal Wanjiku,DBMS,75.0
S1004,Chantal Wanjiku,Python,56.0
S1004,Chantal Wanjiku,PHP,74.0
S1004,Chantal Wanjiku,Attendance,85.0
S1004,Chantal Wanjiku,GPA,2.4
S1005,Florence Wanjiru,Data Mining,56.0
S1005,Florence Wanjiru,AI,65.0
S1005,Florence Wanjiru,Networking,94.0
S1005,Florence Wanjiru,DBMS,67.0
S1005,Florence Wanjiru,Python,76.0
S1005,Florence Wanjiru,PHP,80.0
S1005,Florence Wanjiru,Attendance,60.0
S1005,Florence Wanjiru,GPA,2.1
S1006,Maina Mellisa,Data Mining,65.0
S1006,Maina Mellisa,AI,76.0
S1006,Maina Mellisa,Networking,56.0
S1006,Maina Mellisa,DBMS,87.0
S1006,Maina Mellisa,Python,74.0
S1006,Maina Mellisa,PHP,60.0
S1006,Maina Mellisa,Attendance,70.0
S1006,Maina Mellisa,GPA,2.1
S1008,Rashmi Patel,Data Mining,55.0
